year,type_of_violence,conflict_name,dyad_name,side_a,side_b,latitude,longitude,best
1991,2,Republic of Georgia - Republic of South Ossetia,Republic of Georgia - Republic of South Ossetia,Republic of Georgia,Republic of South Ossetia,42.233333,43.966667,2
1991,3,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union),Civilians,54.683333,25.283333,13
1991,3,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union),Civilians,56.948889,24.106389,1
1991,3,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union),Civilians,54.683333,25.283333,1
1991,3,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union),Civilians,54.683333,25.283333,1
1990,2,Armenian - Azeri,Armenian - Azeri,Armenian,Azeri,39.337716,45.482023,3
1991,2,Republic of Georgia - Republic of South Ossetia,Republic of Georgia - Republic of South Ossetia,Republic of Georgia,Republic of South Ossetia,42.191453,43.871804,0
1991,2,Republic of Georgia - Republic of South Ossetia,Republic of Georgia - Republic of South Ossetia,Republic of Georgia,Republic of South Ossetia,42.233333,43.966667,2
1990,1,Russia (Soviet Union):Nagorno-Karabakh,Government of Russia (Soviet Union) - Republic of Armenia,Government of Russia (Soviet Union),Republic of Armenia,40.25,45.0,19
1990,1,Russia (Soviet Union):Nagorno-Karabakh,Government of Russia (Soviet Union) - Republic of Armenia,Government of Russia (Soviet Union),Republic of Armenia,40.464444,46.395,7
1990,2,Armenian - Azeri,Armenian - Azeri,Armenian,Azeri,40.0,46.583333,4
1991,1,Russia (Soviet Union):Nagorno-Karabakh,Government of Russia (Soviet Union) - Republic of Armenia,Government of Russia (Soviet Union),Republic of Armenia,41.064722,45.0575,12
1991,1,Russia (Soviet Union):Nagorno-Karabakh,Government of Russia (Soviet Union) - Republic of Armenia,Government of Russia (Soviet Union),Republic of Armenia,40.0,46.583333,0
1991,1,Russia (Soviet Union):Nagorno-Karabakh,Government of Russia (Soviet Union) - Republic of Armenia,Government of Russia (Soviet Union),Republic of Armenia,40.0,46.583333,3
1991,1,Russia (Soviet Union):Nagorno-Karabakh,Government of Russia (Soviet Union) - Republic of Armenia,Government of Russia (Soviet Union),Republic of Armenia,39.81744,46.75318,1
1991,2,Republic of Georgia - Republic of South Ossetia,Republic of Georgia - Republic of South Ossetia,Republic of Georgia,Republic of South Ossetia,42.1975,43.960831,1
1991,2,Republic of Georgia - Republic of South Ossetia,Republic of Georgia - Republic of South Ossetia,Republic of Georgia,Republic of South Ossetia,42.076135,44.291613,12
1991,2,Republic of Georgia - Republic of South Ossetia,Republic of Georgia - Republic of South Ossetia,Republic of Georgia,Republic of South Ossetia,42.35,44.0,2
1991,2,Republic of Georgia - Republic of South Ossetia,Republic of Georgia - Republic of South Ossetia,Republic of Georgia,Republic of South Ossetia,42.35,44.0,2
1991,2,Republic of Georgia - Republic of South Ossetia,Republic of Georgia - Republic of South Ossetia,Republic of Georgia,Republic of South Ossetia,42.35,44.0,2
1991,2,Republic of Georgia - Republic of South Ossetia,Republic of Georgia - Republic of South Ossetia,Republic of Georgia,Republic of South Ossetia,42.233333,43.966667,3
1991,2,Republic of Georgia - Republic of South Ossetia,Republic of Georgia - Republic of South Ossetia,Republic of Georgia,Republic of South Ossetia,42.194148,43.773369,1
1991,2,Republic of Georgia - Republic of South Ossetia,Republic of Georgia - Republic of South Ossetia,Republic of Georgia,Republic of South Ossetia,42.35,44.0,20
1991,2,Republic of Georgia - Republic of South Ossetia,Republic of Georgia - Republic of South Ossetia,Republic of Georgia,Republic of South Ossetia,42.233333,43.966667,3
1991,2,Republic of Georgia - Republic of South Ossetia,Republic of Georgia - Republic of South Ossetia,Republic of Georgia,Republic of South Ossetia,42.35,44.0,2
1991,2,Republic of Georgia - Republic of South Ossetia,Republic of Georgia - Republic of South Ossetia,Republic of Georgia,Republic of South Ossetia,42.35,44.0,1
1991,2,Republic of Georgia - Republic of South Ossetia,Republic of Georgia - Republic of South Ossetia,Republic of Georgia,Republic of South Ossetia,42.233333,43.966667,1
1990,2,Armenian - Azeri,Armenian - Azeri,Armenian,Azeri,40.39528,49.88222,0
1991,3,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union) - Civilians,Government of Russia (Soviet Union),Civilians,56.948889,24.106389,1
1990,1,Russia (Soviet Union):Azerbaijan,Government of Russia (Soviet Union) - APF,Government of Russia (Soviet Union),APF,40.39528,49.88222,18
1990,1,Russia (Soviet Union):Azerbaijan,Government of Russia (Soviet Union) - APF,Government of Russia (Soviet Union),APF,39.358611,49.246944,3
1990,1,Russia (Soviet Union):Azerbaijan,Government of Russia (Soviet Union) - APF,Government of Russia (Soviet Union),APF,38.753198,48.844407,5
1990,1,Russia (Soviet Union):Nagorno-Karabakh,Government of Russia (Soviet Union) - Republic of Armenia,Government of Russia (Soviet Union),Republic of Armenia,39.337716,45.482023,1
1990,1,Russia (Soviet Union):Nagorno-Karabakh,Government of Russia (Soviet Union) - Republic of Armenia,Government of Russia (Soviet Union),Republic of Armenia,40.25,45.0,0
1990,1,Russia (Soviet Union):Nagorno-Karabakh,Government of Russia (Soviet Union) - Republic of Armenia,Government of Russia (Soviet Union),Republic of Armenia,40.0,46.583333,2
1991,1,Russia (Soviet Union):Nagorno-Karabakh,Government of Russia (Soviet Union) - Republic of Armenia,Government of Russia (Soviet Union),Republic of Armenia,40.0,46.583333,13
1991,1,Russia (Soviet Union):Nagorno-Karabakh,Government of Russia (Soviet Union) - Republic of Armenia,Government of Russia (Soviet Union),Republic of Armenia,40.0,46.583333,0
1991,1,Russia (Soviet Union):Nagorno-Karabakh,Government of Russia (Soviet Union) - Republic of Armenia,Government of Russia (Soviet Union),Republic of Armenia,40.0,46.583333,3
1991,1,Russia (Soviet Union):Nagorno-Karabakh,Government of Russia (Soviet Union) - Republic of Armenia,Government of Russia (Soviet Union),Republic of Armenia,40.0,46.583333,1
1991,1,Russia (Soviet Union):Nagorno-Karabakh,Government of Russia (Soviet Union) - Republic of Armenia,Government of Russia (Soviet Union),Republic of Armenia,40.0,46.583333,2
1991,1,Russia (Soviet Union):Nagorno-Karabakh,Government of Russia (Soviet Union) - Republic of Armenia,Government of Russia (Soviet Union),Republic of Armenia,40.1678,46.5178,3
1991,1,Russia (Soviet Union):Nagorno-Karabakh,Government of Russia (Soviet Union) - Republic of Armenia,Government of Russia (Soviet Union),Republic of Armenia,40.462513,46.47341,2
1991,1,Russia (Soviet Union):Nagorno-Karabakh,Government of Russia (Soviet Union) - Republic of Armenia,Government of Russia (Soviet Union),Republic of Armenia,40.0,46.583333,5
1991,1,Russia (Soviet Union):Nagorno-Karabakh,Government of Russia (Soviet Union) - Republic of Armenia,Government of Russia (Soviet Union),Republic of Armenia,40.0,46.583333,0
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,42.8707,45.6907,3
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,1
1994,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.5743,45.5214,0
1994,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3847,45.6998,3
1994,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,9
1994,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,31
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.4052,44.8203,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,70
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3519,46.1035,399
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,42.956,46.1268,0
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3519,46.1035,3
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.6499,45.3094,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.222,46.4136,33
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.1627,45.201,6
1994,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,26
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.1488,45.901,30
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.2917,45.8724,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.1117,45.9901,30
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.0964,46.3769,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.253,46.3554,91
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,0
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.2156,46.3902,9
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,16
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.1872,45.2864,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,0
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,6
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.2849,46.4556,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.1488,45.901,11
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.2911,45.3014,18
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.4009,45.5278,6
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,42.5437,46.7059,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,44.7859,44.1464,125
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.2386,45.1714,4
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.4839,44.1403,12
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,42.872,45.6873,33
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,42.8496,47.6269,1
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,2
1993,1,Russia (Soviet Union):Government,Government of Russia (Soviet Union) - Parliamentary Forces,Government of Russia (Soviet Union),Parliamentary Forces,55.7558,37.6173,17
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.0868,46.3045,41
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,42.872,45.6873,15
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.29,45.3024,10
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.1591,46.0051,20
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,9
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.1117,45.9901,1
1993,1,Russia (Soviet Union):Government,Government of Russia (Soviet Union) - Parliamentary Forces,Government of Russia (Soviet Union),Parliamentary Forces,55.7558,37.6173,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,10
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,3
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,6
1993,1,Russia (Soviet Union):Government,Government of Russia (Soviet Union) - Parliamentary Forces,Government of Russia (Soviet Union),Parliamentary Forces,55.7558,37.6173,0
1993,1,Russia (Soviet Union):Government,Government of Russia (Soviet Union) - Parliamentary Forces,Government of Russia (Soviet Union),Parliamentary Forces,55.7558,37.6173,5
1993,1,Russia (Soviet Union):Government,Government of Russia (Soviet Union) - Parliamentary Forces,Government of Russia (Soviet Union),Parliamentary Forces,55.7558,37.6173,4
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.2286,45.5638,3
1993,1,Russia (Soviet Union):Government,Government of Russia (Soviet Union) - Parliamentary Forces,Government of Russia (Soviet Union),Parliamentary Forces,55.7558,37.6173,55
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.221,46.1949,5
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,2
1999,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,45.0445,41.9691,4
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,1
1994,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,4
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,1
1993,1,Russia (Soviet Union):Government,Government of Russia (Soviet Union) - Parliamentary Forces,Government of Russia (Soviet Union),Parliamentary Forces,55.7558,37.6173,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.2503,45.9085,3
1993,1,Russia (Soviet Union):Government,Government of Russia (Soviet Union) - Parliamentary Forces,Government of Russia (Soviet Union),Parliamentary Forces,55.7558,37.6173,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.064,45.6527,4
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,2
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,2
1996,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.3058,45.7477,3
1993,1,Russia (Soviet Union):Government,Government of Russia (Soviet Union) - Parliamentary Forces,Government of Russia (Soviet Union),Parliamentary Forces,55.7558,37.6173,0
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.318,45.6982,1
1995,1,Russia (Soviet Union):Chechnya,Government of Russia (Soviet Union) - Chechen Republic of Ichkeria,Government of Russia (Soviet Union),Chechen Republic of Ichkeria,43.1627,45.201,1
